监控视频,#genre#
哈尔滨霁虹桥,https://gcalic.v.myalicdn.com/gc/hkts09_1/index.m3u8?

江苏徐州之夜,https://gcalic.v.myalicdn.com/gc/hspyt_1/index.m3u8?
扬州中国大运河博物馆,https://gcalic.v.myalicdn.com/gc/tms02_1/index.m3u8?
江苏南京鼓楼广场,https://gcalic.v.myalicdn.com/gc/qdls01_1/index.m3u8?

浙江东极岛,https://gctxyc.liveplay.myqcloud.com/gc/djd01_1_md.m3u8
浙江千岛湖,https://gcalic.v.myalicdn.com/gc/caqdh_1/index.m3u8?
浙江乌镇白莲塔,https://gcalic.v.myalicdn.com/gc/zjwzblt_1/index.m3u8?
浙江乌镇西市河,https://gctxyc.liveplay.myqcloud.com/gc/zjwzbblh_1_md.m3u8
浙江乌镇龙形田,https://gcalic.v.myalicdn.com/gc/zjwzlxt_1/index.m3u8?
浙江乌镇蓝印花布,https://gcalic.v.myalicdn.com/gc/zjwzlyhb_1/index.m3u8?

黄山卧云峰,https://gcalic.v.myalicdn.com/gc/wgw02_1/index.m3u8?
黄山飞来石,https://gcalic.v.myalicdn.com/gc/hsptgy_1/index.m3u8?
黄山卧光明顶,https://gcalic.v.myalicdn.com/gc/hsgmd_1/index.m3u8?
黄山西海大峡谷,https://gcalic.v.myalicdn.com/gc/xdfjq01_1/index.m3u8?

福建漳州官畲景区,https://gcalic.v.myalicdn.com/gc/cntv400-zbzg_1/index.m3u8?
福建武夷山,https://gcalic.v.myalicdn.com/gc/wysynf_1/index.m3u8?

江西滕王阁,https://gcalic.v.myalicdn.com/gc/nxsptdmgychlr_1/index.m3u8?

山东泰山玉皇顶,https://gcalic.v.myalicdn.com/gc/taishan06_1/index.m3u8?
山东泰山大观峰,https://gcalic.v.myalicdn.com/gc/taishan03_1/index.m3u8?
山东泰山望人松,https://gctxyc.liveplay.myqcloud.com/gc/taishan02_1/index.m3u8?
山东泰山泰山天街,https://gcalic.v.myalicdn.com/gc/hsxksqj_1/index.m3u8?
济南趵突泉,https://gcalic.v.myalicdn.com/gc/hnttdysjd_1/index.m3u8?
潍坊青云山民俗游乐园,https://gcalic.v.myalicdn.com/gc/cntv399-zbzg_1/index.m3u8?

河南浚县古城景区,https://gcalic.v.myalicdn.com/gc/hlzycc_1/index.m3u8?
河南焦作红石峡,https://gctxyc.liveplay.myqcloud.com/gc/pts01_1/index.m3u8?

车八岭国家级自然保护区,https://gcalic.v.myalicdn.com/gc/ztx_1/index.m3u8?
珠海大剧院,https://gctxyc.liveplay.myqcloud.com/gc/dxsdtts_1/index.m3u8?
深圳福田中央商务区,https://gcalic.v.myalicdn.com/gc/hkylxs03_1/index.m3u8?
港珠澳大桥,https://gcalic.v.myalicdn.com/gc/qdls04_1/index.m3u8?
广东汕头市小公园,https://gcalic.v.myalicdn.com/gc/bsszjs_1/index.m3u8?
广州塔与海心桥,https://gcalic.v.myalicdn.com/gc/ztb_1/index.m3u8?

七仙岭温泉国家森林公园,https://gcalic.v.myalicdn.com/gc/cntv549-zbzg_1/index.m3u8?

大理樱花谷,https://gcalic.v.myalicdn.com/gc/taishan01_1/index.m3u8?
大理茶马古道,https://gcalic.v.myalicdn.com/gc/tyhjtys_1/index.m3u8?
云南玉龙雪山,https://gctxyc.liveplay.myqcloud.com/gc/ylxs11_1_md.m3u8

贵州甲秀楼,https://gcalic.v.myalicdn.com/gc/hkylxs02_1/index.m3u8?
黄果树瀑布,https://gcalic.v.myalicdn.com/gc/hssxf_1/index.m3u8?

湖北黄鹤楼,https://gcalic.v.myalicdn.com/gc/hkts11_1/index.m3u8?

湖南张家界,https://gcalic.v.myalicdn.com/gc/hsxkssqdzrqj_1/index.m3u8?
张家界武陵源,https://gctxyc.liveplay.myqcloud.com/gc/szgk01_1_md.m3u8
湘西凤凰古城,https://gctxyc.liveplay.myqcloud.com/gc/fhgcdnhs_1_md.m3u8

重庆巫山长江大桥,https://gcalic.v.myalicdn.com/gc/hswlf_1/index.m3u8?
重庆李子坝站,https://gcalic.v.myalicdn.com/gc/ylh04_1/index.m3u8?

成都春熙路,https://gcalic.v.myalicdn.com/gc/lhssjzd_1/index.m3u8?
峨眉山云海日出,https://gctxyc.liveplay.myqcloud.com/gc/emsarm_1_md.m3u8

青海卓乃湖,https://gcalic.v.myalicdn.com/gc/tyhjntyz_1/index.m3u8?

宁夏沙坡头,https://gcalic.v.myalicdn.com/gc/taishan05_1/index.m3u8?

新疆天山马牙山,https://gctxyc.liveplay.myqcloud.com/gc/hkylxs05_1_md.m3u8
新疆天山海西平台,https://gctxyc.liveplay.myqcloud.com/gc/drs01_1_md.m3u8
新疆天山定海神针,https://gcalic.v.myalicdn.com/gc/xjtcdhsz_1/index.m3u8?
新疆天山灯杆山,https://gcalic.v.myalicdn.com/gc/ljgcdyhxgjt_1/index.m3u8?

西藏林芝岷山错高民宿,https://gctxyc.liveplay.myqcloud.com/gc/zjjybf_1/index.m3u8?
西藏林芝墨脱县,https://gcalic.v.myalicdn.com/gc/gccntv240-lzb01_1/index.m3u8?
